Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17431-12539,D,Miami,,Dolphins,8.26666666666667,15,4300,NE@MIA,MIA,NE,,
17431-12545,D,Philadelphia,,Eagles,8.86666666666667,15,4300,DAL@PHI,PHI,DAL,,
17431-12525,D,Atlanta,,Falcons,7.33333333333333,15,4200,NO@ATL,ATL,NO,,
17431-12532,D,Detroit,,Lions,6.35714285714286,14,4200,GB@DET,DET,GB,,
17431-12535,D,Indianapolis,,Colts,5.46666666666667,15,4200,JAC@IND,IND,JAC,,
17431-12548,D,San Diego,,Chargers,7.66666666666667,15,4200,KC@SD,SD,KC,,
17431-12553,D,Carolina,,Panthers,7.66666666666667,15,4200,CAR@TB,CAR,TB,,
17431-12544,D,New York,,Jets,3.13333333333333,15,4100,BUF@NYJ,NYJ,BUF,,
17431-12554,D,Jacksonville,,Jaguars,4.2,15,4100,JAC@IND,JAC,IND,,
17431-12529,D,Cleveland,,Browns,2.93333333333333,15,4000,CLE@PIT,CLE,PIT,,
17431-12542,D,New Orleans,,Saints,4.06666666666667,15,4000,NO@ATL,NO,ATL,,
17431-12549,D,San Francisco,,49ers,3.93333333333333,15,4000,SEA@SF,SF,SEA,,
